Review,Rating
"Great hotel excellent service!",5
"Good location but rooms were small.",3
"Fantastic breakfast friendly staff!",5
"Hotel was clean but WiFi was slow."4
"Terrible experience would not recommend.",1
"Amazing stay! Everything was perfect." , 10
"Great service and comfortable rooms." , 9
"Very good experience but the Wi,Fi was slow." , 8
"Good overall but could improve breakfast variety." , 7
"Fantastic hotel highly recommend!" , 10"
"Decent stay but the room was a bit small." , 1
"Average experience nothing special." , 5
"Pleasant stay clean and tidy." , 8
"Lovely hotel with friendly staff." , 9
"Nice place but the noise from the street was disturbing." , 7
"Not very satisfied the room was not clean." , 4
"Okay stay but expected more for the price." , 1
"Best hotel experience I've ever had!" , 10
"Comfortable stay but the location is a bit far from attractions." , 8
"Wonderful staff and great amenities." , 9
"Mediocre stay room service was slow." , 5
"Good value for money." , 7
"Clean rooms and good service." , 8
"It was okay but the bed was uncomfortable." , 1
"Excellent stay will definitely return!" , 10
"Very nice hotel enjoyed my time here." , 9
"Good experience but the breakfast could be better." , 8
"Decent stay but nothing exceptional." , 7
"Average hotel needs some improvements." , 1
"Not very impressed the staff was not very helpful." , 5
"Loved everything about this hotel!" , 10
"Great location and very comfortable rooms." , 9
"Good service but the room was a bit noisy." , 8
"Nice hotel but a bit overpriced." , 7
"Okay stay but there were some issues with cleanliness." , 1
"Perfect stay couldn't ask for more!" , 10
"Really enjoyed my stay very comfortable." , 9
"Good hotel but the gym was too small." , 8
"Satisfactory stay but nothing special." , 7
"Average experience room could be better." , 1
"Not very happy had some issues with the staff." , 5
"Exceptional service and beautiful hotel!" , 10
"Very nice will definitely come back." , 9
"Good stay but the food could be improved." , 8
"Decent hotel but the location is not ideal." , 7
"Okay experience but the room was too small." , 1
"Not very satisfied the service was slow." , 5
"Absolutely fantastic stay!" , 10
"Loved the hotel very comfortable." , 9
"Good stay but the WiFi was unreliable." , 8
"Satisfactory experience but the breakfast was lacking." , 7
"Average stay could be better." , 1
"Not happy with the service room was not clean." , 5
"Perfect stay will definitely return!" , 10
"Great hotel very comfortable rooms." , 9
"Good experience but the room was a bit noisy." , 8
"Nice stay but a bit overpriced." , 7
"Okay stay but the bed was uncomfortable." , 1
"Average experience expected more." , 5
"Fantastic hotel highly recommend!" , 10
"Really enjoyed my stay very comfortable." , 9
"Good hotel but the gym was too small." , 8
"Decent stay but nothing exceptional." , 7
"Average experience room could be better." , 1
"Not very happy had some issues with the staff." , 5
"Exceptional service and beautiful hotel!" , 10
"Very nice will definitely come back." , 9
"Good stay but the food could be improved." , 8
"Decent hotel but the location is not ideal." , 7
"Okay experience but the room was too small." , 1
"Not very satisfied the service was slow." , 5
"Absolutely fantastic stay!" , 10
"Loved the hotel very comfortable." , 9
"Good stay but the WiFi was unreliable." , 8
"Satisfactory experience but the breakfast was lacking." , 7
"Average stay could be better." , 1
"Not happy with the service room was not clean." , 5
"Perfect stay will definitely return!" , 10
"Great hotel very comfortable rooms." , 9
"Good experience but the room was a bit noisy." , 8
"Nice stay but a bit overpriced." , 7
"Okay stay but the bed was uncomfortable." , 1
"Average experience expected more." , 5
"Fantastic hotel highly recommend!" , 10
"Really enjoyed my stay very comfortable." , 9
"Good hotel but the gym was too small." , 8
"Decent stay but nothing exceptional." , 7
"Average experience room could be better." , 1
"Not very happy had some issues with the staff." , 5
"Exceptional service and beautiful hotel!" , 10
"Very nice will definitely come back." , 9
"Good stay but the food could be improved." , 8
"Decent hotel but the location is not ideal." , 7
"Okay experience but the room was too small." , 1
"Not very satisfied the service was slow." , 5
"Absolutely fantastic stay!" , 10
"Loved the hotel very comfortable." , 9
"Good stay but the WiFi was unreliable." , 8
"Satisfactory experience but the breakfast was lacking." , 7
"Average stay could be better." , 1
"Not happy with the service room was not clean." , 5
"Perfect stay will definitely return!" , 10
"Great hotel very comfortable rooms." , 9
"Good experience but the room was a bit noisy." , 8
1"Nice stay but a bit overpriced." , 7
"not very satisfied the room was not clean." ,-1
"average experience nothing special." ,-1
"mediocre stay room service was slow." ,-1
"not very impressed the staff was not very helpful." ,-1
"not happy with the service room was not clean." ,-1
"not very satisfied the service was slow." ,-1
"not very happy had some issues with the staff." ,-1